,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
82,karnataka,bagalkote,2000,Kharif     ,Mesta,9.0,17.0
83,karnataka,bagalkote,2000,Kharif     ,Moong(Green Gram),23658.0,10069.0
84,karnataka,bagalkote,2000,Kharif     ,Niger seed,435.0,66.0
85,karnataka,bagalkote,2000,Kharif     ,Other Kharif pulses,2961.0,1001.0
86,karnataka,bagalkote,2000,Kharif     ,Rice,171.0,311.0
87,karnataka,bagalkote,2000,Kharif     ,Sesamum,1981.0,969.0
88,karnataka,bagalkote,2000,Kharif     ,Small millets,1142.0,723.0
89,karnataka,bagalkote,2000,Kharif     ,Soyabean,4743.0,4749.0
90,karnataka,bagalkote,2000,Kharif     ,Sunflower,25378.0,16262.0
91,karnataka,bagalkote,2000,Rabi       ,Gram,16454.0,9834.0
92,karnataka,bagalkote,2000,Rabi       ,Groundnut,11875.0,17305.0
93,karnataka,bagalkote,2000,Rabi       ,Horse-gram,1530.0,490.0
94,karnataka,bagalkote,2000,Rabi       ,Jowar,132473.0,94603.0
95,karnataka,bagalkote,2000,Rabi       ,Linseed,4647.0,1377.0
96,karnataka,bagalkote,2000,Rabi       ,Maize,17492.0,47659.0
97,karnataka,bagalkote,2000,Rabi       ,Other  Rabi pulses,677.0,90.0
98,karnataka,bagalkote,2000,Rabi       ,Rapeseed &Mustard,74.0,11.0
99,karnataka,bagalkote,2000,Rabi       ,Safflower,3296.0,3023.0
100,karnataka,bagalkote,2000,Rabi       ,Sunflower,36375.0,20518.0
101,karnataka,bagalkote,2000,Rabi       ,Wheat,23969.0,37181.0
102,karnataka,bagalkote,2000,Summer     ,Maize,3129.0,8799.0
103,karnataka,bagalkote,2000,Summer     ,Sunflower,2901.0,2163.0
104,karnataka,bagalkote,2000,Whole Year ,Arecanut,4.0,6.0
105,karnataka,bagalkote,2000,Whole Year ,Banana,872.0,14647.0
106,karnataka,bagalkote,2000,Whole Year ,Coconut ,1312.0,6268.0
107,karnataka,bagalkote,2000,Whole Year ,Coriander,34.0,3.0
108,karnataka,bagalkote,2000,Whole Year ,Dry chillies,756.0,654.0
109,karnataka,bagalkote,2000,Whole Year ,Garlic,27.0,22.0
110,karnataka,bagalkote,2000,Whole Year ,Onion,3819.0,33520.0
111,karnataka,bagalkote,2000,Whole Year ,Sannhamp,35.0,9.0
112,karnataka,bagalkote,2000,Whole Year ,Sugarcane,62050.0,7014752.0
113,karnataka,bagalkote,2000,Whole Year ,Sweet potato,51.0,162.0
114,karnataka,bagalkote,2000,Whole Year ,Turmeric,301.0,1476.0
115,karnataka,bagalkote,2001,Kharif     ,Arhar/Tur,1502.0,925.0
116,karnataka,bagalkote,2001,Kharif     ,Bajra,15169.0,11519.0
117,karnataka,bagalkote,2001,Kharif     ,Castor seed,19.0,14.0
118,karnataka,bagalkote,2001,Kharif     ,Cotton(lint),14104.0,22539.0
119,karnataka,bagalkote,2001,Kharif     ,Groundnut,14509.0,17691.0
120,karnataka,bagalkote,2001,Kharif     ,Horse-gram,1370.0,1606.0
121,karnataka,bagalkote,2001,Kharif     ,Jowar,6786.0,12064.0
122,karnataka,bagalkote,2001,Kharif     ,Maize,21340.0,66431.0
123,karnataka,bagalkote,2001,Kharif     ,Mesta,5.0,10.0
124,karnataka,bagalkote,2001,Kharif     ,Moong(Green Gram),2301.0,501.0
125,karnataka,bagalkote,2001,Kharif     ,Niger seed,164.0,25.0
126,karnataka,bagalkote,2001,Kharif     ,Other Kharif pulses,450.0,151.0
127,karnataka,bagalkote,2001,Kharif     ,Rice,171.0,411.0
128,karnataka,bagalkote,2001,Kharif     ,Sesamum,897.0,581.0
129,karnataka,bagalkote,2001,Kharif     ,Small millets,43.0,16.0
130,karnataka,bagalkote,2001,Kharif     ,Soyabean,410.0,303.0
131,karnataka,bagalkote,2001,Kharif     ,Sunflower,8560.0,6843.0
132,karnataka,bagalkote,2001,Rabi       ,Gram,25681.0,17984.0
133,karnataka,bagalkote,2001,Rabi       ,Horse-gram,9429.0,5554.0
134,karnataka,bagalkote,2001,Rabi       ,Jowar,170489.0,125015.0
135,karnataka,bagalkote,2001,Rabi       ,Linseed,6261.0,2641.0
136,karnataka,bagalkote,2001,Rabi       ,Maize,15597.0,43755.0
137,karnataka,bagalkote,2001,Rabi       ,Other  Rabi pulses,660.0,88.0
138,karnataka,bagalkote,2001,Rabi       ,Rapeseed &Mustard,74.0,11.0
139,karnataka,bagalkote,2001,Rabi       ,Safflower,4793.0,2817.0
140,karnataka,bagalkote,2001,Rabi       ,Sunflower,48590.0,24663.0
141,karnataka,bagalkote,2001,Rabi       ,Wheat,25855.0,34969.0
142,karnataka,bagalkote,2001,Summer     ,Maize,1396.0,4066.0
143,karnataka,bagalkote,2001,Summer     ,Rice,13.0,19.0
144,karnataka,bagalkote,2001,Summer     ,Sunflower,3442.0,3365.0
145,karnataka,bagalkote,2001,Whole Year ,Arecanut,4.0,6.0
146,karnataka,bagalkote,2001,Whole Year ,Coconut ,1142.0,5456.0
147,karnataka,bagalkote,2001,Whole Year ,Coriander,30.0,3.0
148,karnataka,bagalkote,2001,Whole Year ,Dry chillies,704.0,608.0
149,karnataka,bagalkote,2001,Whole Year ,Onion,6247.0,64311.0
150,karnataka,bagalkote,2001,Whole Year ,Sannhamp,22.0,5.0
151,karnataka,bagalkote,2001,Whole Year ,Sugarcane,60450.0,5570468.0
152,karnataka,bagalkote,2001,Whole Year ,Turmeric,311.0,1553.0
153,karnataka,bagalkote,2002,Kharif     ,Arhar/Tur,2749.0,1113.0
154,karnataka,bagalkote,2002,Kharif     ,Bajra,24007.0,7171.0
155,karnataka,bagalkote,2002,Kharif     ,Castor seed,10.0,9.0
156,karnataka,bagalkote,2002,Kharif     ,Cotton(lint),3511.0,5149.0
157,karnataka,bagalkote,2002,Kharif     ,Groundnut,5720.0,1920.0
158,karnataka,bagalkote,2002,Kharif     ,Horse-gram,2660.0,2075.0
159,karnataka,bagalkote,2002,Kharif     ,Jowar,5551.0,9005.0
160,karnataka,bagalkote,2002,Kharif     ,Maize,20026.0,60945.0
161,karnataka,bagalkote,2002,Kharif     ,Mesta,7.0,13.0
162,karnataka,bagalkote,2002,Kharif     ,Moong(Green Gram),16545.0,330.0
163,karnataka,bagalkote,2002,Kharif     ,Niger seed,122.0,18.0
164,karnataka,bagalkote,2002,Kharif     ,Other Kharif pulses,9360.0,1646.0
