State,District,Season,Crop
andhra pradesh,anantapur,Rabi,Horse-gram
andhra pradesh,anantapur,Kharif,Groundnut
andhra pradesh,anantapur,Rabi,Gram
andhra pradesh,anantapur,Rabi,Jowar
andhra pradesh,anantapur,Rabi,Maize
andhra pradesh,anantapur,Rabi,Rice
andhra pradesh,anantapur,Kharif,Rice
andhra pradesh,anantapur,Kharif,Ragi
andhra pradesh,anantapur,Kharif,Moong(Green Gram)
andhra pradesh,anantapur,Kharif,Maize
andhra pradesh,anantapur,Kharif,Jowar
andhra pradesh,anantapur,Rabi,Groundnut
andhra pradesh,anantapur,Kharif,Cotton(lint)
andhra pradesh,anantapur,Kharif,Bajra
andhra pradesh,anantapur,Kharif,Castor seed
andhra pradesh,chittoor,Rabi,Groundnut
andhra pradesh,chittoor,Kharif,Maize
andhra pradesh,chittoor,Rabi,Rice
andhra pradesh,chittoor,Rabi,Ragi
andhra pradesh,chittoor,Rabi,Horse-gram
andhra pradesh,chittoor,Kharif,Bajra
andhra pradesh,chittoor,Kharif,Rice
andhra pradesh,chittoor,Kharif,Ragi
andhra pradesh,chittoor,Kharif,Groundnut
andhra pradesh,chittoor,Kharif,Horse-gram
andhra pradesh,chittoor,Kharif,Jowar
andhra pradesh,chittoor,Kharif,Moong(Green Gram)
andhra pradesh,east godavari,Kharif,Maize
andhra pradesh,east godavari,Rabi,Moong(Green Gram)
andhra pradesh,east godavari,Kharif,Bajra
andhra pradesh,east godavari,Kharif,Sesamum
andhra pradesh,east godavari,Rabi,Urad
andhra pradesh,east godavari,Rabi,Sesamum
andhra pradesh,east godavari,Kharif,Cotton(lint)
andhra pradesh,east godavari,Rabi,Rice
andhra pradesh,east godavari,Kharif,Rice
andhra pradesh,east godavari,Kharif,Jowar
andhra pradesh,east godavari,Rabi,Horse-gram
andhra pradesh,east godavari,Rabi,Maize
andhra pradesh,guntur,Kharif,Moong(Green Gram)
andhra pradesh,guntur,Rabi,Urad
andhra pradesh,guntur,Rabi,Rice
andhra pradesh,guntur,Kharif,Castor seed
andhra pradesh,guntur,Kharif,Cotton(lint)
andhra pradesh,guntur,Rabi,Moong(Green Gram)
andhra pradesh,guntur,Rabi,Maize
andhra pradesh,guntur,Rabi,Jowar
andhra pradesh,guntur,Rabi,Groundnut
andhra pradesh,guntur,Rabi,Gram
andhra pradesh,guntur,Kharif,Urad
andhra pradesh,guntur,Kharif,Maize
