Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.52,15.89,16.76,18.15,6.66,6.01,20.28,19.93,1.56,0.0
Feb,3.96,7.49,0.0,17.42,8.15,0.0,3.77,4.33,3.36,0.0
Mar,7.47,0.64,22.9,3.0,8.34,5.97,0.0,7.88,0.0,0.0
Apr,15.26,15.28,0.0,55.22,39.99,18.44,63.36,47.62,11.02,11.8
May,46.35,65.43,16.18,56.67,71.03,35.87,47.63,99.29,59.64,44.5
Jun,52.47,100.59,82.12,100.23,146.62,96.48,110.94,177.23,121.65,152.1
Jul,109.86,157.16,109.46,111.28,191.23,193.24,159.65,176.01,217.13,420.9
Aug,333.92,209.91,119.47,206.85,217.39,197.49,214.97,225.29,209.56,255.4
Sep,124.58,123.92,56.88,126.85,138.28,119.65,128.49,97.14,133.63,142.8
Oct,56.89,76.94,45.08,0.0,32.02,40.73,15.8,45.81,46.2,4.2
Nov,0.55,6.48,0.0,0.1,0.0,12.33,0.01,0.0,0.0,0.0
Dec,0.17,2.0,7.85,0.0,0.39,15.43,1.37,0.45,7.21,0.6
