Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,12.88,14.74,11.53,24.35,11.32,13.56,26.87,21.02,11.1,0.0
Feb,4.77,5.65,15.77,0.0,7.06,16.79,0.0,0.17,2.53,0.5
Mar,4.36,2.23,0.0,0.9,15.33,25.06,0.0,13.13,3.0,4.6
Apr,24.24,30.12,30.54,28.99,31.01,28.7,55.21,45.83,8.35,88.8
May,94.67,103.36,35.14,3.39,113.63,101.01,145.41,198.89,108.81,232.8
Jun,221.23,145.09,95.57,230.89,218.58,165.26,200.38,218.86,167.8,93.7
Jul,412.41,296.99,125.42,353.08,364.97,338.75,254.99,376.46,358.14,332.1
Aug,132.31,203.14,122.08,246.65,284.76,281.84,232.38,229.03,288.39,363.9
Sep,227.99,149.51,95.65,145.81,224.64,188.63,189.76,158.64,198.08,211.9
Oct,66.13,84.37,38.75,31.11,46.9,46.94,37.36,61.0,59.37,30.7
Nov,0.09,6.66,10.74,0.1,0.32,1.92,0.0,0.4,0.3,0.0
Dec,0.39,2.0,0.0,0.0,0.07,7.51,0.24,0.09,0.0,6.4
