,State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,karnataka,bagalkote,2009,60,47,53,54,67,75,77,78,83,82,90,88
1,karnataka,bagalkote,2010,74,54,46,55,64,77,81,82,82,87,88,78
2,karnataka,bagalkote,2011,59,50,46,59,66,73,74,79,77,80,81,70
3,karnataka,bangalore rural,2009,62,45,46,46,60,76,72,77,86,80,89,88
4,karnataka,bangalore rural,2010,75,53,41,47,57,75,83,82,83,88,87,79
5,karnataka,bangalore rural,2011,61,52,41,54,59,70,72,78,77,80,78,69
6,karnataka,bangalore urban,2009,62,45,46,46,60,76,72,77,86,80,89,88
7,karnataka,bangalore urban,2010,75,53,41,47,57,75,83,82,83,88,87,79
8,karnataka,bangalore urban,2011,61,52,41,54,59,70,72,78,77,80,78,69
9,karnataka,belgam,2009,60,47,53,54,67,75,77,78,83,82,90,88
10,karnataka,belgam,2010,74,54,46,55,64,77,81,82,82,87,88,78
11,karnataka,belgam,2011,59,50,46,59,66,73,74,79,77,80,81,70
12,karnataka,bellary,2009,51,34,32,30,44,62,66,69,78,74,83,74
13,karnataka,bellary,2010,63,39,28,30,40,58,68,74,73,77,80,65
14,karnataka,bellary,2011,49,41,31,36,42,59,61,70,69,69,66,58
15,karnataka,bidar,2009,42,28,23,19,24,50,74,79,78,65,73,57
16,karnataka,bidar,2010,48,34,22,20,26,55,73,83,85,71,76,53
17,karnataka,bidar,2011,36,34,22,28,27,58,70,80,77,63,53,45
18,karnataka,bijapur,2009,39,25,24,24,36,61,75,75,77,63,71,57
19,karnataka,bijapur,2010,51,31,21,24,33,64,73,79,76,73,75,50
20,karnataka,bijapur,2011,33,31,22,31,39,62,65,73,69,62,49,42
21,karnataka,chamarajanagar,2009,60,47,53,54,67,75,77,78,83,82,90,88
22,karnataka,chamarajanagar,2010,74,54,46,55,64,77,81,82,82,87,88,78
23,karnataka,chamarajanagar,2011,59,50,46,59,66,73,74,79,77,80,81,70
24,karnataka,chikmagalur,2009,53,50,62,65,78,88,94,91,94,86,90,87
25,karnataka,chikmagalur,2010,74,58,54,66,75,87,92,89,86,89,90,77
26,karnataka,chikmagalur,2011,53,51,52,66,73,82,83,87,85,85,79,67
27,karnataka,chitradurga,2009,49,37,41,40,56,71,77,77,85,78,86,81
28,karnataka,chitradurga,2010,67,41,34,41,52,68,78,80,78,85,85,71
29,karnataka,chitradurga,2011,49,41,36,47,56,66,69,76,76,76,71,60
30,karnataka,davangere,2009,46,38,44,45,59,75,86,84,88,80,84,79
31,karnataka,davangere,2010,64,42,39,46,56,73,82,85,83,86,85,69
32,karnataka,davangere,2011,46,42,40,54,61,71,75,82,82,79,70,58
33,karnataka,dharwad,2009,47,44,52,57,68,92,97,95,95,83,84,73
34,karnataka,dharwad,2010,62,47,46,56,65,88,95,93,90,87,87,67
35,karnataka,dharwad,2011,44,49,53,63,70,88,90,92,89,84,69,57
36,karnataka,gadag,2009,45,32,35,37,49,73,82,78,83,75,80,72
37,karnataka,gadag,2010,60,37,30,36,46,72,78,82,80,81,82,62
38,karnataka,gadag,2011,41,38,33,44,52,70,73,78,76,72,62,53
39,karnataka,gulbarga,2009,42,27,22,20,27,54,73,73,74,63,72,57
40,karnataka,gulbarga,2010,48,33,21,20,27,56,70,78,79,70,73,50
41,karnataka,gulbarga,2011,34,32,21,27,28,57,64,73,69,61,51,43
42,karnataka,hassan,2009,55,48,59,62,76,86,91,87,92,86,91,89
43,karnataka,hassan,2010,75,56,50,63,73,85,90,87,84,89,90,79
