,State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,maharashtra,ahmednagar,1901,29.521,29.858,35.023,37.215,36.782,33.027,29.294,28.284000000000002,30.199,32.177,29.451999999999998,28.943
1,maharashtra,ahmednagar,1902,30.537,32.184,35.87,37.576,37.969,33.679,30.156,29.76,29.825,32.422,28.926,28.755
2,maharashtra,ahmednagar,1903,29.584,30.269000000000002,33.576,36.909,36.716,33.937,29.496,28.935,29.984,30.816,28.654,28.078000000000003
3,maharashtra,ahmednagar,1904,29.794,31.266,33.959,37.208,37.599000000000004,32.705,29.502,29.462,29.834,31.844,28.365,28.516
4,maharashtra,ahmednagar,1905,28.69,29.976,33.065,35.098,38.496,33.999,29.518,29.031999999999996,29.701,32.472,30.108,27.862
5,maharashtra,ahmednagar,1906,28.986,30.511999999999997,34.311,37.762,38.089,32.183,29.208000000000002,29.093000000000004,29.049,31.156999999999996,30.349,29.316
6,maharashtra,ahmednagar,1907,29.875,31.570999999999998,34.301,35.424,36.394,32.913000000000004,29.745,27.734,29.999000000000002,32.798,30.826,27.761999999999997
7,maharashtra,ahmednagar,1908,29.12,31.095,34.205,37.803000000000004,37.175,33.264,28.573,28.198,30.266,32.061,29.002,26.888
8,maharashtra,ahmednagar,1909,30.47,31.865,36.286,36.02,37.769,32.135999999999996,28.671999999999997,29.066,29.41,31.353,29.685,29.682
9,maharashtra,ahmednagar,1910,29.605999999999998,31.154,34.936,37.519,37.292,32.51,29.625999999999998,28.836,29.473000000000003,30.639,27.561999999999998,27.854
10,maharashtra,ahmednagar,1911,30.331,30.72,33.689,37.078,38.351,32.135,30.186999999999998,28.506999999999998,29.985,33.303000000000004,31.685,29.988000000000003
11,maharashtra,ahmednagar,1912,30.28,32.565,35.16,38.216,38.049,34.913000000000004,30.024,28.872,30.642,32.195,29.436,28.28
12,maharashtra,ahmednagar,1913,28.693,32.784,34.293,38.467,37.21,31.57,29.269000000000002,28.675,30.169,32.199,29.903000000000002,29.967
13,maharashtra,ahmednagar,1914,29.851,32.356,34.205999999999996,36.693000000000005,37.969,32.733000000000004,28.987,28.813000000000002,30.035999999999998,32.003,30.79,29.359
14,maharashtra,ahmednagar,1915,29.794,31.433000000000003,34.512,37.22,37.566,34.545,30.135,28.906,30.129,31.541,31.378,28.061999999999998
15,maharashtra,ahmednagar,1916,29.603,31.151999999999997,35.966,37.982,38.162,31.541999999999998,30.4,29.004,30.241999999999997,31.671999999999997,30.049,27.881
16,maharashtra,ahmednagar,1917,29.410999999999998,31.026,33.916,35.668,36.208,31.701999999999998,29.471,29.377,29.666999999999998,30.594,28.55,28.103
17,maharashtra,ahmednagar,1918,28.302,31.984,34.335,36.010999999999996,36.354,32.093,30.594,29.464000000000002,30.643,33.114000000000004,31.735,29.909000000000002
18,maharashtra,ahmednagar,1919,30.601,32.482,35.383,36.928000000000004,37.389,31.945,29.281,28.916,30.148000000000003,31.462,31.229,28.487
19,maharashtra,ahmednagar,1920,30.429000000000002,31.057,35.082,36.997,36.328,32.721,28.779,28.901,30.717,32.641999999999996,30.028000000000002,28.947
20,maharashtra,ahmednagar,1921,30.362,31.398000000000003,36.207,38.461,37.816,32.794000000000004,30.045,28.531999999999996,29.381,31.531,28.834,28.982
21,maharashtra,ahmednagar,1922,30.003,32.573,35.183,37.961,37.501,32.650999999999996,28.746,28.595,29.524,31.624000000000002,29.149,27.116999999999997
22,maharashtra,ahmednagar,1923,29.412,30.416999999999998,34.982,36.721,36.641,34.446,29.179000000000002,28.601,29.614,31.028000000000002,29.576,29.816999999999997
23,maharashtra,ahmednagar,1924,30.811999999999998,32.582,36.643,38.292,37.838,33.592,30.052,29.429000000000002,29.825,30.171,28.131,28.859
24,maharashtra,ahmednagar,1925,28.108,30.669,35.199,38.515,36.95,31.701,28.879,29.021,30.465999999999998,32.407,31.074,28.671999999999997
25,maharashtra,ahmednagar,1926,30.658,33.288000000000004,35.021,35.129,37.321,34.847,29.955,28.703000000000003,29.959,32.329,29.545,28.756
26,maharashtra,ahmednagar,1927,30.397,31.735,35.138000000000005,37.256,37.291,32.328,28.635,28.523000000000003,30.323,31.695999999999998,28.054000000000002,28.994
27,maharashtra,ahmednagar,1928,30.109,31.66,35.115,37.496,37.518,33.153,29.276,28.837,29.221,31.607,30.261,28.951999999999998
28,maharashtra,ahmednagar,1929,29.294,31.675,36.275999999999996,36.91,38.024,32.327,29.144000000000002,28.975,30.56,31.641,30.219,29.288
29,maharashtra,ahmednagar,1930,30.239,29.701999999999998,35.275999999999996,36.702,37.708,32.955999999999996,28.410999999999998,28.226999999999997,29.816,32.181999999999995,28.805,29.823
30,maharashtra,ahmednagar,1931,30.087,32.272,34.459,38.504,37.955,34.483000000000004,29.211,28.788,29.412,30.56,29.494,28.11
31,maharashtra,ahmednagar,1932,29.115,30.055999999999997,34.371,36.513000000000005,37.571,32.696,28.845,29.259,29.906999999999996,32.349000000000004,29.928,28.676
32,maharashtra,ahmednagar,1933,29.373,31.773000000000003,34.696999999999996,36.781,35.805,31.459,29.298000000000002,28.4,29.331999999999997,31.133000000000003,30.186999999999998,28.416999999999998
33,maharashtra,ahmednagar,1934,28.6,31.375,34.135999999999996,37.473,37.236999999999995,32.646,28.855999999999998,28.083000000000002,29.035,31.386999999999997,28.502,28.232
34,maharashtra,ahmednagar,1935,28.379,31.163,33.629,35.385999999999996,37.611999999999995,33.086999999999996,28.726,28.609,28.865,32.135,29.075,29.484
35,maharashtra,ahmednagar,1936,29.499000000000002,30.689,34.580999999999996,36.43,38.223,31.451,29.185,28.659000000000002,30.238000000000003,31.679000000000002,30.826,28.737
