State,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
chhattisgarh,kanker,109,109,109,108,109,109,109,109,109,109,109,109,109
chhattisgarh,kawardha,109,108,106,107,106,109,109,109,109,109,109,109,109
chhattisgarh,korba,109,109,109,109,109,109,109,109,109,109,109,109,109
chhattisgarh,koriya,109,108,109,109,109,108,109,109,109,109,109,109,109
chhattisgarh,mahasamund,109,109,109,109,109,109,109,109,109,109,109,109,109
chhattisgarh,raigad,109,109,109,109,109,109,109,109,109,109,109,109,109
chhattisgarh,raipur,109,109,109,109,109,109,109,109,109,109,109,109,109
chhattisgarh,rajnandgaon,109,109,109,109,109,109,109,109,109,109,109,109,109
chhattisgarh,surguja,109,109,109,109,109,109,109,109,109,109,109,109,109
dadra and nagar haveli,dadra and nagar haveli,109,109,109,109,109,109,109,109,109,109,109,109,109
daman and diu,daman,1,0,0,0,0,0,0,0,0,0,0,0,0
daman and diu,diu,8,3,3,3,3,4,2,3,3,5,3,4,5
delhi,new delhi,109,109,109,109,109,109,109,109,109,109,109,109,109
goa,goa,8,7,7,7,7,7,7,7,7,7,7,7,7
gujarat,ahmedabad,109,109,109,108,109,109,109,109,109,109,109,109,109
gujarat,amreli,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,anand,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,banas kantha,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,bharuch,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,bhavnagar,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,dahod,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,dangs,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,gandhinagar,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,jamnagar,8,7,7,7,7,7,7,7,7,7,7,7,7
gujarat,junagadh,8,7,7,7,7,7,7,7,7,7,7,7,7
gujarat,kheda,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,kutch,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,mehsana,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,narmada,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,navsari,8,7,7,7,7,7,7,7,7,7,7,7,7
gujarat,panchmahal,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,patan,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,porbandar,8,7,7,7,7,7,7,7,7,7,7,7,7
gujarat,rajkot,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,sabarkantha,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,surat,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,surendranagar,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,vadodara,109,109,109,109,109,109,109,109,109,109,109,109,109
gujarat,valsad,8,7,7,7,7,7,7,7,7,7,7,7,7
haryana,ambala,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,bhiwani,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,faridabad,109,108,108,106,107,107,109,109,109,109,109,109,109
haryana,fatehabad,109,108,108,108,108,108,109,109,109,109,109,108,108
haryana,gurgaon,109,107,108,107,107,108,109,109,109,109,109,109,109
haryana,hissar,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,jhajjar,109,106,106,107,107,107,108,109,109,109,109,109,109
haryana,jind,109,109,109,108,108,108,109,109,109,109,109,109,109
haryana,kaithal,109,107,107,106,107,107,109,109,109,108,108,108,109
haryana,karnal,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,kurukshetra,109,108,108,108,108,108,109,109,109,109,109,109,109
haryana,mahendragarh,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,panchkula,109,107,109,109,109,109,109,109,109,109,109,109,109
haryana,panipat,109,109,108,108,109,109,109,109,109,109,109,109,108
haryana,rewari,109,107,106,105,106,106,109,109,109,109,109,108,109
haryana,rohtak,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,sirsa,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,sonepat,109,109,109,109,109,109,109,109,109,109,109,109,109
haryana,yamunanagar,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,bilaspur,7,7,7,7,7,7,7,7,7,7,7,7,7
himachal pradesh,chamba,109,108,108,108,108,108,109,109,109,109,109,109,109
himachal pradesh,hamirpur,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,kangra,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,kinnaur,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,kulu,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,lahaul and spiti,104,104,104,104,104,104,104,104,104,104,104,104,104
himachal pradesh,mandi,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,shimla,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,sirmaur,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,solan,109,109,109,109,109,109,109,109,109,109,109,109,109
himachal pradesh,una,109,109,109,109,109,109,109,109,109,109,109,109,109
jammu and kashmir,anantnag,109,109,109,109,109,109,109,109,109,109,109,109,109
