,Predicted,Month
0,5.677929519603437,1
1,4.574271192004842,2
2,17.657988413117952,3
3,100.78678706924813,4
4,158.51959202677614,5
5,454.0460219225374,6
6,370.78038886120146,7
7,329.786202448753,8
8,204.13571153998916,9
9,254.46195319107278,10
10,130.1919802838986,11
11,19.316837738565845,12
